NOMEDEP;DE;MUN;DISTR;COD_ESC;NOMESC;SITUACAO;TIPOESC;ENDESC;NUMESC;COMPLEND;CEP;BAIESC;ZONA;DS_LONGITUDE;DS_LATITUDE;CODVINC
ESTADUAL - SE;NORTE 1;SAO PAULO;JAGUARA;12;AYRES DE MOURA PROFESSOR;Ativa;EE;RUA ARTUR ORLANDO;907;RUA;5118000;VILA JAGUARA;URBANA;-46,74909973;-23,5121994;
ESTADUAL - SE;NORTE 1;SAO PAULO;PERUS;24;GAVIAO PEIXOTO BRIGADEIRO;Ativa;EE;MOGEIRO;710;RUA;5208230;VILA PERUS;URBANA;-46,75939941;-23,40469933;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;36;JOAO SOLIMEO;Ativa;EE;DO SABAO;1497;ESTRADA;2806000;JARDIM MARISTELA;URBANA;-46,70082092;-23,48127937;
ESTADUAL - SE;NORTE 1;SAO PAULO;BRASILANDIA;48;WALFREDO ARANTES CALDAS PROFESSOR;Ativa;EE;DEPUTADO CANTIDIO SAMPAIO;1701;;2860001;VILA SOUZA;URBANA;-46,6795311;-23,46417999;
ESTADUAL - SE;NORTE 1;SAO PAULO;ANHANGUERA;59;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;Ativa;EE;RUA FRANCISCO GIRON;SN;ESTRADA;5267000;MORRO DOCE;URBANA;-46,79224851;-23,43794952;
ESTADUAL - SE;NORTE 1;SAO PAULO;PERUS;61;SUZANA DE CAMPOS DONA;Ativa;EE;ANTONIO MAIA;691;RUA;5204110;VILA PERUS;URBANA;-46,75506973;-23,40682983;
ESTADUAL - SE;NORTE 1;SAO PAULO;BRASILANDIA;73;JULIO DE FARIA E SOUZA PROFESSOR;Ativa;EE;POMPEU PEQUENO DE SOUZA BRASIL;89;RUA;2881100;VILA FRANCOS;URBANA;-46,67404543;-23,4676003;
ESTADUAL - SE;NORTE 1;SAO PAULO;PIRITUBA;85;JULIO CESAR DE OLIVEIRA PROFESSOR;Ativa;EE;ALBERTO VEIGA;99;RUA;5172270;VILA PIRITUBA;URBANA;-46,7458992;-23,48139954;
ESTADUAL - SE;NORTE 1;SAO PAULO;BRASILANDIA;97;RENATO DE ARRUDA PENTEADO PROFESSOR;Ativa;EE;FLORIANO DA COSTA BARROSO;10;RUA;2855220;JARDIM CAROMBE;URBANA;-46,70204926;-23,45809937;
ESTADUAL - SE;NORTE 1;SAO PAULO;BRASILANDIA;103;JOAO BOEMER JARDIM PROFESSOR;Ativa;EE;CRISTOVAO SANTIAGO;50;RUA;2871040;JARDIM ONDINA;URBANA;-46,67359924;-23,46120071;
ESTADUAL - SE;NORTE 1;SAO PAULO;JARAGUA;115;FRANCISCO FARIA NETO PROFESSOR;Ativa;EE;SILVERIO DE CASTRO SOUSA;102;RUA;2982000;JARDIM SYDNEY;URBANA;-46,71620178;-23,45070076;
ESTADUAL - SE;NORTE 1;SAO PAULO;JAGUARA;127;JOSE ALTENFELDER SILVA PROFESSOR;Ativa;EE;CARLOS ALBERTO VANZOLINI;397;RUA;5103060;VILA DOS REMEDIOS;URBANA;-46,75196764;-23,51357366;
ESTADUAL - SE;NORTE 1;SAO PAULO;PIRITUBA;139;MARIANO DE OLIVEIRA PROFESSOR;Ativa;EE;RUA ALMIRANTE ISAIAS DE NORONHA;13;RUA;2919100;VILA PEREIRA BARRETO;URBANA;-46,71562958;-23,49102974;
ESTADUAL - SE;NORTE 1;SAO PAULO;PIRITUBA;140;SILVIO XAVIER ANTUNES PROFESSOR;Ativa;EE;JOSE DA SILVA MARTHA;150;RUA;2913100;PIQUERI;URBANA;-46,71319962;-23,50185966;
ESTADUAL - SE;NORTE 1;SAO PAULO;SAO DOMINGOS;152;OCTAVIO MONTEIRO DE CASTRO PROFESSOR;Ativa;EE;ITAQUIRAI;1;PRACA;5132110;VILA MANGALOT;URBANA;-46,74431992;-23,50489998;
ESTADUAL - SE;NORTE 1;SAO PAULO;JAGUARA;164;PIO TELLES PEIXOTO PROFESSOR;Ativa;EE;ARTUR ORLANDO;985;RUA;5118000;VILA JAGUARA;URBANA;-46,74881744;-23,51172829;
ESTADUAL - SE;NORTE 1;SAO PAULO;SAO DOMINGOS;176;ZENAIDE VILALVA DE ARAUJO PROFESSORA;Ativa;EE;BELO JARDIM;674;RUA;5159200;JARDIM MUTINGA;URBANA;-46,7517443;-23,4858315;
ESTADUAL - SE;NORTE 1;SAO PAULO;JAGUARA;188;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR;Ativa;EE;MUTINGA;5071;AVENIDA;5110000;JARDIM SANTO ELIAS;URBANA;-46,75820923;-23,50484085;
ESTADUAL - SE;NORTE 1;SAO PAULO;PIRITUBA;197;AGENOR COUTO DE MAGALHAES DOUTOR;Ativa;EE;GUILHERME MANKEL;99;AVENIDA;5176000;VILA CLARICE;URBANA;-46,74649811;-23,47100067;
ESTADUAL - SE;NORTE 1;SAO PAULO;PIRITUBA;206;ALIPIO DE BARROS PROFESSOR;Ativa;EE;AVENIDA COMENDADOR FEIZ ZARZUR;SN;AVENIDA;2942000;JARDIM CIDADE PIRITUBA;URBANA;-46,7188;-23,4796;
ESTADUAL - SE;NORTE 1;SAO PAULO;SAO DOMINGOS;218;ANTONIO FRANCISCO REDONDO PROFESSOR;Ativa;EE;EVANDRO DANTON FERREIRA GANDRA;148;RUA;5131100;VILA MANGALOT;URBANA;-46,74206161;-23,49681091;
ESTADUAL - SE;NORTE 1;SAO PAULO;PIRITUBA;224;CANDIDO GONCALVES GOMIDE PROFESSOR;Ativa;EE;AVELINO ZANETTI;50;RUA;2945100;JARDIM CIDADE PIRITUBA;URBANA;-46,72731018;-23,48432922;
ESTADUAL - SE;NORTE 1;SAO PAULO;BRASILANDIA;231;CHIQUINHA RODRIGUES;Ativa;EE;CAIAPE;SN;RUA;2867000;VILA PENTEADO;URBANA;-46,68355179;-23,47125053;
ESTADUAL - SE;NORTE 1;SAO PAULO;JARAGUA;243;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA;Ativa;EE;JERIMANDUBA;561;AVENIDA;5181000;JARAGUA;URBANA;-46,74621559;-23,4551737;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;255;CLODOMIRO CARNEIRO;Ativa;EE;MANOEL DE SOUZA AZEVEDO;364;RUA;2809040;SITIO MORRO GRANDE;URBANA;-46,70299911;-23,47159958;
ESTADUAL - SE;NORTE 1;SAO PAULO;PIRITUBA;267;ERMANO MARCHETTI;Ativa;EE;PEDRO MARIGLIANI;192;RUA;5141010;CHACARA INGLESA;URBANA;-46,729599;-23,49329948;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;279;GALDINO LOPES CHAGAS PROFESSOR;Ativa;EE;SABAO;1547;ESTRADA;2806000;JARDIM MARISTELA;URBANA;-46,69749832;-23,46829987;
ESTADUAL - SE;NORTE 1;SAO PAULO;JARAGUA;280;HUMBERTO DE SOUZA MELLO GENERAL;Ativa;EE;AVENIDA DEPUTADO CANTIDIO SAMPAIO;6803;AVENIDA;2860001;PARADA DE TAIPAS;URBANA;-46,717659;-23,43593025;
ESTADUAL - SE;NORTE 1;SAO PAULO;BRASILANDIA;292;DALILA DE ANDRADE COSTA PROFESSORA;Ativa;EE;ARROIO DO MEIO;SN;RUA;2878120;JARDIM VISTA ALEGRE;URBANA;-46,68560028;-23,4538002;
ESTADUAL - SE;CENTRO;SAO PAULO;CASA VERDE;309;BENEDITO TOLOSA PROFESSOR;Ativa;EE;PRACA DIRCEU DE LIMA;617;PRACA;2515050;CASA VERDE;URBANA;-46,65769958;-23,51063919;
ESTADUAL - SE;CENTRO;SAO PAULO;CASA VERDE;310;ARY BARROSO;Ativa;EE;RUA SANTA EUDOXIA;630;RUA;2533010;PARQUE PERUCHE;URBANA;-46,6555318;-23,4978625;
ESTADUAL - SE;CENTRO;SAO PAULO;CASA VERDE;322;PEDRO MONTEIRO DO AMARAL CAPITAO;Ativa;EE;RUA NURSIA;412;RUA;2524020;JARDIM SAO BENTO;URBANA;-46,65063095;-23,50268936;
ESTADUAL - SE;CENTRO;SAO PAULO;CASA VERDE;334;MANUEL DA NOBREGA PADRE;Ativa;EE;RUA SANTA PRISCA;122;RUA;2518010;JARDIM LARANJEIRAS;URBANA;-46,66328812;-23,50877953;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;346;MANOEL DA NOBREGA PADRE;Ativa;EE;ITABERABA;145;AVENIDA;2734000;NOSSA SENHORA DO O;URBANA;-46,69787979;-23,49990082;
ESTADUAL - SE;CENTRO;SAO PAULO;LIMAO;358;MATILDE MACEDO SOARES;Ativa;EE;JOSE SORIANO DE SOUSA;30;;2555050;CASA VERDE ALTA;URBANA;-46,66732025;-23,49567032;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;361;PASQUALE PECCICACCO;Ativa;EE;NAZARIO PAGANO;225;RUA;2961030;JARDIM MONJOLO;URBANA;-46,69765091;-23,49217987;
ESTADUAL - SE;NORTE 2;SAO PAULO;CACHOEIRINHA;371;ANTONIO JOSE LEITE PROF;Ativa;EE;DEZ DE MAIO;271;RUA;2615100;VILA AMELIA;URBANA;-46,65530014;-23,47050095;
ESTADUAL - SE;CENTRO;SAO PAULO;LIMAO;383;ANTOINE DE SAINT EXUPERY;Ativa;EE;RUA ANTONIO RIBEIRO DE MORAIS;184;RUA;2751000;VILA CARBONE;URBANA;-46,6813154;-23,4914963;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;395;JOAQUIM LUIZ DE BRITO PROFESSOR;Ativa;EE;RUA SANTA LUCIA FILIPPINI;65;RUA;2737100;ITABERABA;URBANA;-46,6907;-23,4886;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;401;MARQUES DE TAMANDARE ALMIRANTE;Ativa;EE;JACARECOPAIBA;33;RUA;2965170;VILA MARINA;URBANA;-46,70240021;-23,4843998;
