CODIGO CIE,CODIGO INEP,DIRETORIA,ESCOLA,MUNICIPIO,NIVEL ENSINO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
12,35000012,NORTE 1,AYRES DE MOURA PROFESSOR                                    ,SAO PAULO,ANOS FINAIS,2.90,2.91,2.59,2.42,2.42,2.29,2.64,3.13,3.18,3.26,4.20,4.23
24,35000024,NORTE 1,GAVIAO PEIXOTO BRIGADEIRO                                   ,SAO PAULO,ANOS FINAIS,2.52,1.63,2.27,2.21,2.41,2.15,2.05,1.58,,2.39,2.27,2.42
36,35000036,NORTE 1,JOAO SOLIMEO                                                ,SAO PAULO,ANOS FINAIS,2.02,1.94,2.71,2.64,2.97,2.71,1.88,2.40,2.92,2.65,2.58,2.99
48,35000048,NORTE 1,WALFREDO ARANTES CALDAS PROFESSOR                           ,SAO PAULO,ANOS FINAIS,2.26,2.38,2.08,2.31,1.85,1.56,1.89,2.08,,,,
59,35000059,NORTE 1,SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR                      ,SAO PAULO,ANOS FINAIS,2.01,2.71,2.66,2.67,2.60,,,,,,,
97,35000097,NORTE 1,RENATO DE ARRUDA PENTEADO PROFESSOR                         ,SAO PAULO,ANOS FINAIS,1.37,1.00,2.88,3.01,2.36,1.94,1.39,1.22,2.02,2.05,2.36,
139,35000139,NORTE 1,MARIANO DE OLIVEIRA PROFESSOR                               ,SAO PAULO,ANOS FINAIS,2.09,2.44,2.76,2.58,2.25,2.19,1.96,2.68,3.48,2.40,3.26,3.48
140,35000140,NORTE 1,SILVIO XAVIER ANTUNES PROFESSOR                             ,SAO PAULO,ANOS FINAIS,1.73,2.27,2.45,2.56,2.00,1.93,1.47,2.50,,2.14,2.93,3.01
164,35000164,NORTE 1,PIO TELLES PEIXOTO PROFESSOR                                ,SAO PAULO,ANOS FINAIS,2.80,2.21,2.24,2.38,2.63,2.10,2.19,2.64,,1.46,2.53,2.32
176,35000176,NORTE 1,ZENAIDE VILALVA DE ARAUJO PROFESSORA                        ,SAO PAULO,ANOS FINAIS,1.48,1.50,2.14,1.90,1.87,2.08,2.57,2.59,2.54,1.96,2.53,3.17
188,35000188,NORTE 1,ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR            ,SAO PAULO,ANOS FINAIS,3.02,2.84,3.00,2.92,2.95,2.59,2.91,2.80,3.10,2.61,2.89,3.57
197,35000197,NORTE 1,AGENOR COUTO DE MAGALHAES DOUTOR                            ,SAO PAULO,ANOS FINAIS,1.85,2.02,2.36,2.18,2.57,2.16,2.16,2.31,2.42,2.15,2.34,3.16
224,35000224,NORTE 1,CANDIDO GONCALVES GOMIDE PROFESSOR                          ,SAO PAULO,ANOS FINAIS,2.39,2.36,2.81,2.09,2.38,2.04,2.06,2.26,2.50,1.92,2.25,3.26
255,35000255,NORTE 1,CLODOMIRO CARNEIRO                                          ,SAO PAULO,ANOS FINAIS,1.60,1.69,2.18,1.82,2.26,1.57,1.46,1.74,1.69,2.36,2.76,2.44
267,35000267,NORTE 1,ERMANO MARCHETTI                                            ,SAO PAULO,ANOS FINAIS,3.03,2.62,3.15,3.12,2.23,2.40,2.56,2.55,2.09,1.81,3.04,2.89
280,35000280,NORTE 1,HUMBERTO DE SOUZA MELLO GENERAL                             ,SAO PAULO,ANOS FINAIS,2.50,2.49,3.19,2.66,2.85,2.67,2.26,2.58,2.77,2.64,2.85,3.33
309,35000309,CENTRO,BENEDITO TOLOSA PROFESSOR                                   ,SAO PAULO,ANOS FINAIS,2.62,2.56,3.00,2.64,2.63,2.30,2.57,2.01,3.43,2.46,2.94,2.96
322,35000322,CENTRO,PEDRO MONTEIRO DO AMARAL CAPITAO                            ,SAO PAULO,ANOS FINAIS,2.61,1.95,2.47,2.27,2.75,2.58,2.27,2.73,,2.45,2.68,2.85
334,35000334,CENTRO,MANUEL DA NOBREGA PADRE                                     ,SAO PAULO,ANOS FINAIS,2.78,2.13,3.12,2.61,2.81,2.57,2.52,2.99,2.75,2.76,3.27,3.56
358,35000358,CENTRO,MATILDE MACEDO SOARES                                       ,SAO PAULO,ANOS FINAIS,,,3.16,2.84,2.22,2.74,2.57,2.33,2.93,2.81,2.46,2.87
371,35000371,NORTE 2,ANTONIO JOSE LEITE PROF                                     ,SAO PAULO,ANOS FINAIS,1.76,2.46,3.00,2.68,3.38,2.99,3.01,2.74,2.48,2.60,2.99,3.23
383,35000383,CENTRO,ANTOINE DE SAINT EXUPERY                                    ,SAO PAULO,ANOS FINAIS,2.77,2.81,2.97,2.63,2.86,2.58,2.63,2.81,3.14,2.62,3.06,3.14
395,35000395,NORTE 1,JOAQUIM LUIZ DE BRITO PROFESSOR                             ,SAO PAULO,ANOS FINAIS,2.19,2.39,2.61,2.37,2.12,2.39,2.00,2.08,2.39,2.06,2.38,3.34
401,35000401,NORTE 1,MARQUES DE TAMANDARE ALMIRANTE                              ,SAO PAULO,ANOS FINAIS,2.55,2.47,3.07,2.69,2.45,2.19,2.23,2.20,2.16,2.23,2.23,3.33
413,35000413,NORTE 1,JOAQUIM SILVADO DOUTOR                                      ,SAO PAULO,ANOS FINAIS,2.78,2.58,2.90,2.47,2.55,2.64,1.84,2.69,3.16,2.31,2.72,2.76
450,35000450,NORTE 1,AUGUSTO RIBEIRO DE CARVALHO PROFESSOR                       ,SAO PAULO,ANOS FINAIS,2.67,2.92,2.90,2.71,2.83,2.66,2.32,2.94,,2.93,3.04,3.18
462,35000462,CENTRO,AUGUSTO MEIRELLES REIS FILHO PROFESSOR                      ,SAO PAULO,ANOS FINAIS,2.04,2.35,2.82,2.05,2.25,2.15,1.94,2.25,1.25,1.73,2.58,2.03
498,35000498,CENTRO,LUIZ GONZAGA RIGHINI PROFESSOR                              ,SAO PAULO,ANOS FINAIS,2.07,2.11,2.33,1.66,1.95,2.09,1.75,1.68,2.10,2.23,2.62,2.52
528,35000528,CENTRO,COLOMBO DE ALMEIDA PROFESSOR                                ,SAO PAULO,ANOS FINAIS,1.92,1.70,1.91,2.50,1.59,1.68,2.23,2.50,3.26,2.71,2.66,2.94
536,35000536,CENTRO,TARCISIO ALVARES LOBO                                       ,SAO PAULO,ANOS FINAIS,2.67,2.69,2.80,2.59,2.67,2.65,2.45,2.40,2.91,2.62,2.87,3.06
553,35000553,NORTE 1,JACOMO STAVALE PROFESSOR                                    ,SAO PAULO,ANOS FINAIS,3.32,3.57,3.67,2.96,3.45,3.02,2.49,2.82,3.25,2.50,3.55,4.12
577,35000577,CENTRO,DULCE FERREIRA BOARIN PROFESSORA                            ,SAO PAULO,ANOS FINAIS,2.08,1.95,2.87,1.80,1.60,1.78,1.56,2.20,,,3.34,3.22
589,35000589,NORTE 1,PLINIO DAMASCO PENNA PROFESSOR                              ,SAO PAULO,ANOS FINAIS,1.99,2.57,2.92,1.77,2.49,2.02,2.09,2.06,2.60,3.59,4.24,4.01
607,35000607,NORTE 2,TITO PRATES DA FONSECA                                      ,SAO PAULO,ANOS FINAIS,2.53,2.12,2.48,2.64,2.73,2.78,2.06,2.01,2.33,2.46,3.28,3.11
620,35000620,NORTE 1,ANTONIO EMILIO SOUZA PENNA PROFESSOR                        ,SAO PAULO,ANOS FINAIS,2.96,2.60,2.97,2.54,2.53,2.59,2.59,2.54,,2.34,2.76,3.52
656,35000656,CENTRO,FRONTINO GUIMARAES                                          ,SAO PAULO,ANOS FINAIS,2.37,2.74,2.51,2.16,2.92,2.50,2.47,2.63,4.17,3.78,4.41,4.04
668,35000668,CENTRO,ROMULO PERO PROFESSOR                                       ,SAO PAULO,ANOS FINAIS,3.66,3.30,3.83,3.09,2.91,3.53,2.79,2.51,3.07,3.56,3.99,3.41
673,35000673,LESTE 5,PAULO EGYDIO DE OLIVEIRA CARVALHO SENADOR                   ,SAO PAULO,ANOS FINAIS,1.93,1.64,2.66,2.18,2.21,2.02,1.78,1.58,2.30,2.30,2.79,3.45
681,35000681,CENTRO,TOLEDO BARBOSA                                              ,SAO PAULO,ANOS FINAIS,,,2.58,2.46,2.62,2.56,2.71,2.96,2.87,2.77,3.09,3.44
693,35000693,NORTE 2,RITA BICUDO PEREIRA PROFA                                   ,SAO PAULO,ANOS FINAIS,1.79,2.07,2.68,2.27,2.04,1.94,1.96,2.15,2.13,2.38,2.01,2.59
711,35000711,CENTRO,NARBAL FONTES PROFESSORA                                    ,SAO PAULO,ANOS FINAIS,2.77,2.61,2.87,3.22,3.57,2.96,2.95,3.23,3.35,2.73,3.86,3.33
723,35000723,CENTRO,OCTAVIO MENDES DOUTOR                                       ,SAO PAULO,ANOS FINAIS,2.28,1.95,2.35,2.72,2.41,2.50,2.08,2.49,2.60,2.65,3.22,3.73
735,35000735,NORTE 2,PAUL HUGON PROF                                             ,SAO PAULO,ANOS FINAIS,2.93,2.80,3.00,2.89,3.02,2.26,2.32,2.29,2.45,2.38,3.15,3.69
747,35000747,LESTE 5,MARIA MONTESSORI                                            ,SAO PAULO,ANOS FINAIS,2.75,2.56,2.23,2.38,2.41,2.27,2.21,2.48,2.91,3.10,2.74,2.80
760,35000760,CENTRO,AFRANIO PEIXOTO                                             ,SAO PAULO,ANOS FINAIS,2.78,2.50,3.52,2.84,1.45,2.23,2.97,2.01,3.23,2.30,3.25,3.16
784,35000784,CENTRO,ANESIA SINCORA PROFESSORA                                   ,SAO PAULO,ANOS FINAIS,2.56,2.04,2.94,2.92,3.07,2.82,2.39,2.70,3.99,2.34,3.11,2.57
796,35000796,LESTE 5,HEROIS DA FEB                                               ,SAO PAULO,ANOS FINAIS,1.84,2.20,2.16,1.98,2.41,1.98,1.69,1.59,1.66,1.81,2.58,2.54
802,35000802,LESTE 5,IMPERATRIZ LEOPOLDINA                                       ,SAO PAULO,ANOS FINAIS,2.90,2.09,3.04,2.63,2.65,2.22,2.13,2.14,2.14,2.14,2.67,3.31
814,35000814,NORTE 2,RAQUEL ASSIS BARREIROS PROFA                                ,SAO PAULO,ANOS FINAIS,1.30,2.67,2.69,2.32,2.03,2.30,2.12,2.02,2.38,2.33,1.74,2.83
838,35000838,LESTE 5,JOAO VIEIRA DE ALMEIDA                                      ,SAO PAULO,ANOS FINAIS,2.22,2.32,2.39,2.02,1.84,2.21,2.12,2.83,2.22,2.32,2.74,3.80
848,35000848,CENTRO,JOAQUIM LEME DO PRADO PROFESSOR                             ,SAO PAULO,ANOS FINAIS,2.61,1.91,3.01,2.57,2.99,2.73,1.82,2.44,2.93,3.11,4.60,4.43
875,35000875,NORTE 2,CASTRO ALVES                                                ,SAO PAULO,ANOS FINAIS,2.80,2.36,3.06,1.68,1.91,2.21,1.76,1.91,,2.44,3.08,2.99
905,35000905,NORTE 2,CARLOS DE LAET PROF                                         ,SAO PAULO,ANOS FINAIS,2.35,2.38,2.23,2.04,2.79,2.99,2.19,1.99,2.70,2.56,4.46,3.04
917,35000917,CENTRO,ANTONIO LISBOA PROFESSOR                                    ,SAO PAULO,ANOS FINAIS,2.78,2.98,3.11,2.71,2.67,2.85,2.36,3.41,3.55,3.36,3.32,3.16
930,35000930,CENTRO,HOMEM DE MELLO BARAO                                        ,SAO PAULO,ANOS FINAIS,2.28,2.54,2.71,2.34,2.84,2.29,2.89,2.02,3.15,3.00,3.77,2.80
942,35000942,CENTRO,BUENOS AIRES                                                ,SAO PAULO,ANOS FINAIS,2.11,2.45,2.82,2.83,2.62,2.43,2.22,2.49,2.30,,,
966,35000966,CENTRO,GONCALVES DIAS                                              ,SAO PAULO,ANOS FINAIS,3.20,3.32,3.02,2.72,3.02,2.89,2.94,2.69,3.26,3.16,2.54,3.20
978,35000978,CENTRO,CASIMIRO DE ABREU                                           ,SAO PAULO,ANOS FINAIS,2.24,3.27,3.12,1.96,3.09,2.86,1.68,2.59,4.18,3.72,4.80,4.35
1004,35001004,NORTE 2,EURICO FIGUEIREDO PROF                                      ,SAO PAULO,ANOS FINAIS,2.03,1.85,2.60,2.56,1.99,2.30,2.27,1.93,2.99,2.22,3.14,2.83
1016,35001016,NORTE 2,ALBERTO CARDOSO DE MELLO NETO DR                            ,SAO PAULO,ANOS FINAIS,2.66,2.63,2.84,2.83,2.56,2.62,2.47,2.53,3.50,2.83,3.39,3.25
1028,35001028,NORTE 2,VICTOR DOS SANTOS CUNHA PROF                                ,SAO PAULO,ANOS FINAIS,1.22,2.22,2.67,2.04,1.95,1.77,1.91,1.65,2.39,2.08,1.92,2.38
1036,35001036,NORTE 2,SEBASTIAO DE SOUZA BUENO PROF                               ,SAO PAULO,ANOS FINAIS,2.00,2.55,3.06,2.55,2.86,2.69,2.51,3.08,2.90,2.37,3.04,2.73
