CODIGO CIE,CODIGO INEP,DIRETORIA,ESCOLA,MUNICIPIO,NIVEL ENSINO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
000024,35000024,NORTE 1,GAVIAO PEIXOTO BRIGADEIRO                                   ,SAO PAULO,ANOS INICIAIS,2.88,2.36,2.94,,,3.78,,,,,4.83,5.04
000073,35000073,NORTE 1,JULIO DE FARIA E SOUZA PROFESSOR                            ,SAO PAULO,ANOS INICIAIS,3.38,3.36,3.36,4.54,3.95,5.81,6.24,4.20,5.72,4.73,5.49,4.75
000206,35000206,NORTE 1,ALIPIO DE BARROS PROFESSOR                                  ,SAO PAULO,ANOS INICIAIS,3.68,3.37,4.32,4.57,3.85,4.53,4.27,5.49,4.94,5.18,5.20,6.10
000255,35000255,NORTE 1,CLODOMIRO CARNEIRO                                          ,SAO PAULO,ANOS INICIAIS,,,,2.96,,,,,,,,
000292,35000292,NORTE 1,DALILA DE ANDRADE COSTA PROFESSORA                          ,SAO PAULO,ANOS INICIAIS,2.43,2.07,,,3.23,1.48,2.65,3.28,3.47,3.48,3.30,3.88
000309,35000309,CENTRO,BENEDITO TOLOSA PROFESSOR                                   ,SAO PAULO,ANOS INICIAIS,3.51,3.34,3.53,3.38,4.37,4.51,4.12,4.88,4.13,4.86,5.30,4.48
000474,35000474,NORTE 1,MATHIAS AIRES                                               ,SAO PAULO,ANOS INICIAIS,3.64,4.59,4.69,4.40,4.31,4.70,5.62,8.19,5.80,6.72,5.60,6.13
000541,35000541,CENTRO,JOAQUIM NABUCO                                              ,SAO PAULO,ANOS INICIAIS,2.58,3.06,3.24,3.63,3.91,3.82,4.17,5.11,5.64,4.95,6.12,5.25
000656,35000656,CENTRO,FRONTINO GUIMARAES                                          ,SAO PAULO,ANOS INICIAIS,2.37,2.85,2.81,2.57,3.95,4.45,,4.37,,,,
000759,35000759,LESTE 5,FLORINDA CARDOSO PROFESSORA                                 ,SAO PAULO,ANOS INICIAIS,4.12,4.20,4.32,3.95,4.71,5.91,7.52,5.26,5.36,5.55,5.56,5.33
001077,35001077,NORTE 2,JUDITH GUIMARAES DOS SANTOS PROFA                           ,SAO PAULO,ANOS INICIAIS,3.36,3.89,4.71,4.97,5.28,6.16,5.07,6.46,7.91,5.54,6.24,6.02
001442,35001442,LESTE 5,ANDRE XAVIER GALLICHO PROFESSOR                             ,SAO PAULO,ANOS INICIAIS,3.70,3.55,4.30,4.43,5.04,3.73,,5.79,6.12,4.87,5.16,6.43
001478,35001478,CENTRO,EDUARDO PRADO                                               ,SAO PAULO,ANOS INICIAIS,2.94,4.10,3.61,4.14,4.67,4.66,3.86,4.87,5.58,5.46,4.12,5.28
001545,35001545,CENTRO SUL,PANDIA CALOGERAS                                            ,SAO PAULO,ANOS INICIAIS,4.97,5.09,5.61,5.79,5.89,6.21,6.93,6.38,6.60,6.76,6.28,5.59
