CODIGO CIE,CODIGO INEP,DIRETORIA,ESCOLA,MUNICIPIO,NIVEL ENSINO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
12,35000012,NORTE 1,AYRES DE MOURA PROFESSOR                                    ,SAO PAULO,ENSINO MEDIO,1.37,1.86,1.75,1.92,2.36,1.79,,,,,,
24,35000024,NORTE 1,GAVIAO PEIXOTO BRIGADEIRO                                   ,SAO PAULO,ENSINO MEDIO,1.32,1.59,1.32,1.58,1.24,1.37,1.16,1.36,,1.83,1.19,1.95
36,35000036,NORTE 1,JOAO SOLIMEO                                                ,SAO PAULO,ENSINO MEDIO,1.07,0.82,1.61,1.40,1.37,1.61,1.13,1.74,1.88,1.26,1.60,1.90
48,35000048,NORTE 1,WALFREDO ARANTES CALDAS PROFESSOR                           ,SAO PAULO,ENSINO MEDIO,0.93,1.24,1.50,1.29,1.24,1.00,1.26,1.18,1.11,1.43,1.56,1.73
59,35000059,NORTE 1,SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR                      ,SAO PAULO,ENSINO MEDIO,1.08,1.06,1.63,1.25,1.53,1.09,1.12,1.31,1.21,1.63,1.29,2.03
97,35000097,NORTE 1,RENATO DE ARRUDA PENTEADO PROFESSOR                         ,SAO PAULO,ENSINO MEDIO,0.64,0.40,2.40,2.96,1.77,1.25,0.77,0.79,1.45,1.51,1.66,1.71
139,35000139,NORTE 1,MARIANO DE OLIVEIRA PROFESSOR                               ,SAO PAULO,ENSINO MEDIO,1.01,1.42,1.49,1.09,1.29,1.41,1.40,1.65,2.10,1.99,2.80,2.68
140,35000140,NORTE 1,SILVIO XAVIER ANTUNES PROFESSOR                             ,SAO PAULO,ENSINO MEDIO,1.15,1.23,2.01,1.20,1.46,1.70,1.66,1.72,,1.67,1.85,2.38
164,35000164,NORTE 1,PIO TELLES PEIXOTO PROFESSOR                                ,SAO PAULO,ENSINO MEDIO,1.53,2.26,1.57,1.76,1.48,1.71,1.14,1.59,,1.31,1.51,1.39
176,35000176,NORTE 1,ZENAIDE VILALVA DE ARAUJO PROFESSORA                        ,SAO PAULO,ENSINO MEDIO,0.83,1.45,1.35,0.96,0.95,1.40,1.84,1.58,2.19,2.03,2.55,2.42
