CÓDIGO CIE;Código INEP;ESCOLA;DIRETORIA;MUNICÍPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MÉDIO
12;35000012;AYRES DE MOURA PROFESSOR                                    ;NORTE 1;SAO PAULO;;2,45;1,92
24;35000024;GAVIAO PEIXOTO BRIGADEIRO                                   ;NORTE 1;SAO PAULO;3,96;2,31;1,50
36;35000036;JOAO SOLIMEO                                                ;NORTE 1;SAO PAULO;;2,87;1,74
48;35000048;WALFREDO ARANTES CALDAS PROFESSOR                           ;NORTE 1;SAO PAULO;;1,72;1,12
59;35000059;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR                      ;NORTE 1;SAO PAULO;;;1,21
73;35000073;JULIO DE FARIA E SOUZA PROFESSOR                            ;NORTE 1;SAO PAULO;5,88;;
85;35000085;JULIO CESAR DE OLIVEIRA PROFESSOR                           ;NORTE 1;SAO PAULO;5,31;;
97;35000097;RENATO DE ARRUDA PENTEADO PROFESSOR                         ;NORTE 1;SAO PAULO;;2,10;1,37
103;35000103;JOAO BOEMER JARDIM PROFESSOR                                ;NORTE 1;SAO PAULO;3,62;;
115;35000115;FRANCISCO FARIA NETO PROFESSOR                              ;NORTE 1;SAO PAULO;3,09;;
127;35000127;JOSE ALTENFELDER SILVA PROFESSOR                            ;NORTE 1;SAO PAULO;4,30;;
139;35000139;MARIANO DE OLIVEIRA PROFESSOR                               ;NORTE 1;SAO PAULO;;2,35;1,54
140;35000140;SILVIO XAVIER ANTUNES PROFESSOR                             ;NORTE 1;SAO PAULO;;2,09;1,83
152;35000152;OCTAVIO MONTEIRO DE CASTRO PROFESSOR                        ;NORTE 1;SAO PAULO;4,76;;
164;35000164;PIO TELLES PEIXOTO PROFESSOR                                ;NORTE 1;SAO PAULO;;2,26;1,84
176;35000176;ZENAIDE VILALVA DE ARAUJO PROFESSORA                        ;NORTE 1;SAO PAULO;;2,24;1,53
188;35000188;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR            ;NORTE 1;SAO PAULO;;2,75;1,81
197;35000197;AGENOR COUTO DE MAGALHAES DOUTOR                            ;NORTE 1;SAO PAULO;;2,32;1,42
206;35000206;ALIPIO DE BARROS PROFESSOR                                  ;NORTE 1;SAO PAULO;4,67;;
218;35000218;ANTONIO FRANCISCO REDONDO PROFESSOR                         ;NORTE 1;SAO PAULO;;;1,98
224;35000224;CANDIDO GONCALVES GOMIDE PROFESSOR                          ;NORTE 1;SAO PAULO;;2,20;1,40
