CÓDIGO CIE;Código INEP;ESCOLA;DIRETORIA;MUNICÍPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MÉDIO
12;35000012;AYRES DE MOURA PROFESSOR                                    ;NORTE 1;SAO PAULO;;3,35;
24;35000024;GAVIAO PEIXOTO BRIGADEIRO                                   ;NORTE 1;SAO PAULO;;;
36;35000036;JOAO SOLIMEO                                                ;NORTE 1;SAO PAULO;;3,10;2,03
48;35000048;WALFREDO ARANTES CALDAS PROFESSOR                           ;NORTE 1;SAO PAULO;;;1,25
59;35000059;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR                      ;NORTE 1;SAO PAULO;;;1,36
61;35000061;SUZANA DE CAMPOS DONA                                       ;NORTE 1;SAO PAULO;4,96;;
73;35000073;JULIO DE FARIA E SOUZA PROFESSOR                            ;NORTE 1;SAO PAULO;5,81;;
85;35000085;JULIO CESAR DE OLIVEIRA PROFESSOR                           ;NORTE 1;SAO PAULO;5,87;;
97;35000097;RENATO DE ARRUDA PENTEADO PROFESSOR                         ;NORTE 1;SAO PAULO;;2,22;1,60
103;35000103;JOAO BOEMER JARDIM PROFESSOR                                ;NORTE 1;SAO PAULO;3,96;;
115;35000115;FRANCISCO FARIA NETO PROFESSOR                              ;NORTE 1;SAO PAULO;3,70;;
127;35000127;JOSE ALTENFELDER SILVA PROFESSOR                            ;NORTE 1;SAO PAULO;6,08;;
139;35000139;MARIANO DE OLIVEIRA PROFESSOR                               ;NORTE 1;SAO PAULO;;3,64;2,25
140;35000140;SILVIO XAVIER ANTUNES PROFESSOR                             ;NORTE 1;SAO PAULO;;;
152;35000152;OCTAVIO MONTEIRO DE CASTRO PROFESSOR                        ;NORTE 1;SAO PAULO;6,16;;
164;35000164;PIO TELLES PEIXOTO PROFESSOR                                ;NORTE 1;SAO PAULO;;;
176;35000176;ZENAIDE VILALVA DE ARAUJO PROFESSORA                        ;NORTE 1;SAO PAULO;;2,73;2,34
188;35000188;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR            ;NORTE 1;SAO PAULO;;3,27;1,49
197;35000197;AGENOR COUTO DE MAGALHAES DOUTOR                            ;NORTE 1;SAO PAULO;;2,61;1,50
206;35000206;ALIPIO DE BARROS PROFESSOR                                  ;NORTE 1;SAO PAULO;5,09;;
218;35000218;ANTONIO FRANCISCO REDONDO PROFESSOR                         ;NORTE 1;SAO PAULO;;;2,15
224;35000224;CANDIDO GONCALVES GOMIDE PROFESSOR                          ;NORTE 1;SAO PAULO;;2,69;2,18
231;35000231;CHIQUINHA RODRIGUES                                         ;NORTE 1;SAO PAULO;5,43;;
243;35000243;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA                   ;NORTE 1;SAO PAULO;4,67;;
255;35000255;CLODOMIRO CARNEIRO                                          ;NORTE 1;SAO PAULO;;1,89;1,47
267;35000267;ERMANO MARCHETTI                                            ;NORTE 1;SAO PAULO;;2,29;2,63
279;35000279;GALDINO LOPES CHAGAS PROFESSOR                              ;NORTE 1;SAO PAULO;4,80;;
280;35000280;HUMBERTO DE SOUZA MELLO GENERAL                             ;NORTE 1;SAO PAULO;;2,96;1,75
292;35000292;DALILA DE ANDRADE COSTA PROFESSORA                          ;NORTE 1;SAO PAULO;3,70;;
309;35000309;BENEDITO TOLOSA PROFESSOR                                   ;CENTRO;SAO PAULO;4,33;3,59;1,86
310;35000310;ARY BARROSO                                                 ;CENTRO;SAO PAULO;4,63;;
322;35000322;PEDRO MONTEIRO DO AMARAL CAPITAO                            ;CENTRO;SAO PAULO;;;
334;35000334;MANUEL DA NOBREGA PADRE                                     ;CENTRO;SAO PAULO;;2,94;1,97
346;35000346;MANOEL DA NOBREGA PADRE                                     ;NORTE 1;SAO PAULO;5,70;;
358;35000358;MATILDE MACEDO SOARES                                       ;CENTRO;SAO PAULO;5,27;3,11;
361;35000361;PASQUALE PECCICACCO                                         ;NORTE 1;SAO PAULO;5,14;;
371;35000371;ANTONIO JOSE LEITE PROF                                     ;NORTE 2;SAO PAULO;;2,67;2,03
383;35000383;ANTOINE DE SAINT EXUPERY                                    ;CENTRO;SAO PAULO;;3,31;2,34
395;35000395;JOAQUIM LUIZ DE BRITO PROFESSOR                             ;NORTE 1;SAO PAULO;;2,58;1,65
401;35000401;MARQUES DE TAMANDARE ALMIRANTE                              ;NORTE 1;SAO PAULO;;2,36;1,54
413;35000413;JOAQUIM SILVADO DOUTOR                                      ;NORTE 1;SAO PAULO;;3,33;2,11
425;35000425;REPUBLICA DO CHILE                                          ;NORTE 2;SAO PAULO;6,51;;
437;35000437;ANGELINA MADUREIRA PROFESSORA                               ;CENTRO;SAO PAULO;5,55;;
449;35000449;TAUNAY VISCONDE DE                                          ;CENTRO;SAO PAULO;6,30;;
450;35000450;AUGUSTO RIBEIRO DE CARVALHO PROFESSOR                       ;NORTE 1;SAO PAULO;;;
462;35000462;AUGUSTO MEIRELLES REIS FILHO PROFESSOR                      ;CENTRO;SAO PAULO;;1,43;1,74
474;35000474;MATHIAS AIRES                                               ;NORTE 1;SAO PAULO;5,89;;
498;35000498;LUIZ GONZAGA RIGHINI PROFESSOR                              ;CENTRO;SAO PAULO;;2,30;1,94
504;35000504;MARIO TEIXEIRA MARIANO PROFESSOR                            ;CENTRO;SAO PAULO;6,66;;
516;35000516;JOSE CARLOS DIAS PROFESSOR                                  ;CENTRO;SAO PAULO;5,57;;
528;35000528;COLOMBO DE ALMEIDA PROFESSOR                                ;CENTRO;SAO PAULO;;3,43;2,12
536;35000536;TARCISIO ALVARES LOBO                                       ;CENTRO;SAO PAULO;;3,09;2,59
541;35000541;JOAQUIM NABUCO                                              ;CENTRO;SAO PAULO;5,74;;
553;35000553;JACOMO STAVALE PROFESSOR                                    ;NORTE 1;SAO PAULO;;3,42;1,30
565;35000565;NOSSA SENHORA DO RETIRO                                     ;NORTE 1;SAO PAULO;5,35;;
577;35000577;DULCE FERREIRA BOARIN PROFESSORA                            ;CENTRO;SAO PAULO;;;2,21
589;35000589;PLINIO DAMASCO PENNA PROFESSOR                              ;NORTE 1;SAO PAULO;;2,79;
590;35000590;PAULO SETUBAL                                               ;CENTRO;SAO PAULO;5,40;;
607;35000607;TITO PRATES DA FONSECA                                      ;NORTE 2;SAO PAULO;;2,53;2,29
619;35000619;REGENTE FEIJO                                               ;NORTE 1;SAO PAULO;4,96;;
620;35000620;ANTONIO EMILIO SOUZA PENNA PROFESSOR                        ;NORTE 1;SAO PAULO;;;
632;35000632;AUGUSTO DE MACEDO COSTA DOUTOR                              ;NORTE 1;SAO PAULO;6,61;;
644;35000644;PIO XII                                                     ;NORTE 1;SAO PAULO;5,89;;
656;35000656;FRONTINO GUIMARAES                                          ;CENTRO;SAO PAULO;;4,29;
668;35000668;ROMULO PERO PROFESSOR                                       ;CENTRO;SAO PAULO;;3,25;3,00
673;35000673;PAULO EGYDIO DE OLIVEIRA CARVALHO SENADOR                   ;LESTE 5;SAO PAULO;;2,50;2,24
681;35000681;TOLEDO BARBOSA                                              ;CENTRO;SAO PAULO;4,71;3,05;
693;35000693;RITA BICUDO PEREIRA PROFA                                   ;NORTE 2;SAO PAULO;4,70;2,33;1,92
700;35000700;HORACIO LAFER MINISTRO                                      ;LESTE 5;SAO PAULO;6,38;;
711;35000711;NARBAL FONTES PROFESSORA                                    ;CENTRO;SAO PAULO;;3,51;2,49
723;35000723;OCTAVIO MENDES DOUTOR                                       ;CENTRO;SAO PAULO;;2,79;1,44
735;35000735;PAUL HUGON PROF                                             ;NORTE 2;SAO PAULO;;2,64;1,83
747;35000747;MARIA MONTESSORI                                            ;LESTE 5;SAO PAULO;;3,09;2,43
759;35000759;FLORINDA CARDOSO PROFESSORA                                 ;LESTE 5;SAO PAULO;5,48;;
760;35000760;AFRANIO PEIXOTO                                             ;CENTRO;SAO PAULO;;3,40;2,14
772;35000772;VISCONDE DE INHAUMA ALMIRANTE                               ;NORTE 2;SAO PAULO;5,73;;
784;35000784;ANESIA SINCORA PROFESSORA                                   ;CENTRO;SAO PAULO;4,21;4,12;
796;35000796;HEROIS DA FEB                                               ;LESTE 5;SAO PAULO;;1,85;1,72
802;35000802;IMPERATRIZ LEOPOLDINA                                       ;LESTE 5;SAO PAULO;;2,34;2,06
814;35000814;RAQUEL ASSIS BARREIROS PROFA                                ;NORTE 2;SAO PAULO;;2,57;2,10
838;35000838;JOAO VIEIRA DE ALMEIDA                                      ;LESTE 5;SAO PAULO;;2,42;1,97
848;35000848;JOAQUIM LEME DO PRADO PROFESSOR                             ;CENTRO;SAO PAULO;;3,11;3,47
851;35000851;JULIO MAIA                                                  ;LESTE 5;SAO PAULO;5,62;;
863;35000863;JOSE MARCELINO DA FONSECA MAJOR                             ;NORTE 2;SAO PAULO;7,11;;
875;35000875;CASTRO ALVES                                                ;NORTE 2;SAO PAULO;;;
899;35000899;PEDRO COSTA DEPUTADO                                        ;CENTRO;SAO PAULO;6,11;;
905;35000905;CARLOS DE LAET PROF                                         ;NORTE 2;SAO PAULO;;2,89;2,26
917;35000917;ANTONIO LISBOA PROFESSOR                                    ;CENTRO;SAO PAULO;;3,70;3,40
929;35000929;ANTONIO VIEIRA PADRE                                        ;CENTRO;SAO PAULO;;;3,01
930;35000930;HOMEM DE MELLO BARAO                                        ;CENTRO;SAO PAULO;;3,32;2,68
942;35000942;BUENOS AIRES                                                ;CENTRO;SAO PAULO;;2,50;2,34
966;35000966;GONCALVES DIAS                                              ;CENTRO;SAO PAULO;;3,43;2,50
978;35000978;CASIMIRO DE ABREU                                           ;CENTRO;SAO PAULO;;4,30;3,22
985;35000985;REPUBLICA DA BOLIVIA                                        ;CENTRO;SAO PAULO;6,97;;
1004;35001004;EURICO FIGUEIREDO PROF                                      ;NORTE 2;SAO PAULO;;3,17;2,62
1016;35001016;ALBERTO CARDOSO DE MELLO NETO DR                            ;NORTE 2;SAO PAULO;;3,66;1,82
1028;35001028;VICTOR DOS SANTOS CUNHA PROF                                ;NORTE 2;SAO PAULO;;2,58;1,60
1036;35001036;SEBASTIAO DE SOUZA BUENO PROF                               ;NORTE 2;SAO PAULO;;3,08;1,14
1041;35001041;JOHANN GUTENBERG                                            ;NORTE 2;SAO PAULO;;2,73;1,86
1053;35001053;LUIZ AMARAL WAGNER PROF                                     ;NORTE 2;SAO PAULO;4,72;;
1065;35001065;DAVID EUGENIO DOS SANTOS PROF                               ;NORTE 2;SAO PAULO;5,48;;
1077;35001077;JUDITH GUIMARAES DOS SANTOS PROFA                           ;NORTE 2;SAO PAULO;7,92;;
1089;35001089;GABRIELA MISTRAL                                            ;NORTE 2;SAO PAULO;3,74;2,73;
1090;35001090;JOSE MARIA REYS PROF                                        ;NORTE 2;SAO PAULO;5,76;;
1119;35001119;EURIPEDES DE CASTRO                                         ;NORTE 2;SAO PAULO;4,99;;
1120;35001120;EXPEDICIONARIO BRASILEIRO                                   ;CENTRO;SAO PAULO;6,55;;
1132;35001132;PEDRO ALEXANDRINO                                           ;NORTE 2;SAO PAULO;;2,35;2,04
1144;35001144;JULIO PESTANA                                               ;NORTE 2;SAO PAULO;;2,55;1,92
1156;35001156;SILVA JARDIM                                                ;NORTE 2;SAO PAULO;;3,38;2,40
1168;35001168;ALFREDO INACIO TRINDADE                                     ;NORTE 2;SAO PAULO;;3,00;2,20
1173;35001173;ALBINO CESAR                                                ;NORTE 2;SAO PAULO;;2,94;2,45
1181;35001181;RAFAEL DE MORAES LIMA PROF                                  ;NORTE 2;SAO PAULO;5,73;;
1193;35001193;PHILOMENA BAYLAO PROFA                                      ;NORTE 2;SAO PAULO;5,49;3,04;2,08
1200;35001200;LAEL DE MOURA PRADO PROF                                    ;NORTE 2;SAO PAULO;5,99;;
1211;35001211;MIGUEL VIEIRA FERREIRA DR                                   ;NORTE 2;SAO PAULO;4,92;;
1223;35001223;MARIA PAULA MARCONDES DOMINGUES PROFA                       ;NORTE 2;SAO PAULO;7,13;;
1235;35001235;CYRENE DE OLIVEIRA LAET DONA                                ;NORTE 2;SAO PAULO;;2,70;1,87
1247;35001247;RUY BARBOSA CONSELHEIRO                                     ;NORTE 2;SAO PAULO;;3,40;2,35
1259;35001259;JOAO LIGABUE CONEGO                                         ;NORTE 2;SAO PAULO;;2,48;1,66
1272;35001272;ANGELO BORTOLO                                              ;NORTE 2;SAO PAULO;;2,88;1,76
1284;35001284;AMENAIDE BRAGA DE QUEIROZ PROFA                             ;NORTE 2;SAO PAULO;;3,61;3,24
1296;35001296;CARMOSINA MONTEIRO VIANNA PROFA                             ;NORTE 2;SAO PAULO;;2,69;2,17
1302;35001302;ARNALDO BARRETO                                             ;NORTE 2;SAO PAULO;;2,43;1,21
1314;35001314;CASSIO DA COSTA VIDIGAL                                     ;NORTE 2;SAO PAULO;4,92;;
1326;35001326;PEDRO DE MORAES VICTOR DR                                   ;NORTE 2;SAO PAULO;;1,53;1,00
1338;35001338;MARIA ANGELITA SAYAGO LAET PROFA                            ;NORTE 2;SAO PAULO;5,02;;
1348;35001348;JOSE DO AMARAL MELLO PROF                                   ;NORTE 2;SAO PAULO;3,44;2,74;1,42
1351;35001351;ADEMAR HIROSHI SUDA PROF                                    ;NORTE 2;SAO PAULO;7,75;;
1363;35001363;SAO PAULO                                                   ;CENTRO;SAO PAULO;;2,53;2,49
1375;35001375;LOUREIRO JUNIOR PROFESSOR                                   ;LESTE 5;SAO PAULO;;;2,78
1387;35001387;THEODORO DE MORAES PROFESSOR                                ;LESTE 5;SAO PAULO;6,08;;
1399;35001399;PAULO MONTE SERRAT PROFESSOR                                ;LESTE 5;SAO PAULO;6,35;;
1405;35001405;ROMAO PUIGARI                                               ;CENTRO;SAO PAULO;5,23;;
1417;35001417;ISAI LEIRNER                                                ;LESTE 5;SAO PAULO;;;2,16
1430;35001430;ANDRE OHL                                                   ;LESTE 5;SAO PAULO;6,17;;
1442;35001442;ANDRE XAVIER GALLICHO PROFESSOR                             ;LESTE 5;SAO PAULO;6,18;3,33;1,92
1454;35001454;ANTONIO FIRMINO DE PROENCA PROF                             ;CENTRO;SAO PAULO;;;
1466;35001466;AMADEU AMARAL                                               ;LESTE 5;SAO PAULO;;2,58;1,87
1478;35001478;EDUARDO PRADO                                               ;CENTRO;SAO PAULO;5,68;3,39;
1485;35001485;GUERINO RASO                                                ;LESTE 5;SAO PAULO;5,05;;
1491;35001491;ANNA TEIXEIRA PRADO ZACHARIAS PROFESSORA                    ;LESTE 5;SAO PAULO;;3,50;1,96
1508;35001508;ANTONIO DE QUEIROZ TELLES DOUTOR                            ;LESTE 5;SAO PAULO;6,27;;
1512;35001512;ARMANDO ARAUJO                                              ;CENTRO SUL;SAO PAULO;5,72;3,39;
1521;35001521;PAULO LUIG FREI                                             ;CENTRO;SAO PAULO;5,54;2,96;1,70
1545;35001545;PANDIA CALOGERAS                                            ;CENTRO SUL;SAO PAULO;6,63;;
1557;35001557;BENEDITO MATARAZZO DEPUTADO                                 ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;3,69;3,45
1569;35001569;OSWALDO CRUZ                                                ;CENTRO SUL;SAO PAULO;5,21;3,50;2,50
1570;35001570;ORESTES GUIMARAES                                           ;CENTRO;SAO PAULO;4,03;2,37;2,04
1582;35001582;DOMINGOS FAUSTINO SARMIENTO                                 ;LESTE 5;SAO PAULO;4,51;;
1600;35001600;PLINIO BARRETO                                              ;LESTE 5;SAO PAULO;;3,04;2,39
1624;35001624;WOLNY CARVALHO RAMOS PROFESSOR                              ;LESTE 5;SAO PAULO;;3,61;3,54
1659;35001659;ANCHIETA PADRE                                              ;CENTRO;SAO PAULO;;2,78;1,90
1661;35001661;MMDC                                                        ;CENTRO SUL;SAO PAULO;;3,70;2,72
1673;35001673;MARIA DA GLORIA COSTA E SILVA PROFESSORA                    ;LESTE 5;SAO PAULO;;2,70;1,86
1685;35001685;MARIO CASASSANTA PROFESSOR                                  ;CENTRO SUL;SAO PAULO;;3,20;2,32
1697;35001697;BEATRIZ R BASSI ASTORINO PROFESSORA                         ;LESTE 5;SAO PAULO;5,62;3,89;
1703;35001703;MARIO MARQUES DE OLIVEIRA PROFESSOR                         ;LESTE 5;SAO PAULO;;;3,32
1727;35001727;VICTOR MIGUEL ROMANO PROF                                   ;LESTE 4;SAO PAULO;;2,80;1,86
1739;35001739;ANDRE DREYFUS PROFESSOR                                     ;CENTRO SUL;SAO PAULO;6,45;;
1740;35001740;STEFAN ZWEIG                                                ;LESTE 5;SAO PAULO;;3,19;2,30
1752;35001752;AROLDO DE AZEVEDO PROF                                      ;LESTE 4;SAO PAULO;;2,60;1,89
1764;35001764;ANNITA ATALLA PROFESSORA                                    ;CENTRO SUL;SAO PAULO;5,91;;
1776;35001776;SECUNDINO DOMINGUES FILHO DOUTOR                            ;LESTE 5;SAO PAULO;5,63;2,94;3,08
1788;35001788;OLGA BENATTI PROFESSORA                                     ;CENTRO SUL;SAO PAULO;;3,96;
1797;35001797;BRISABELLA ALMEIDA NOBRE PROFESSORA                         ;CENTRO SUL;SAO PAULO;;4,16;3,74
1806;35001806;JOY ARRUDA DOUTOR                                           ;LESTE 5;SAO PAULO;6,53;;
1818;35001818;JOCELYN PONTES GESTAL PROF                                  ;LESTE 4;SAO PAULO;4,10;;
1824;35001824;JOSE HEITOR CARUSI PROFESSOR                                ;CENTRO SUL;SAO PAULO;;3,11;2,87
1843;35001843;FRANCISCO BORGES VIEIRA DOUTOR                              ;CENTRO SUL;SAO PAULO;;3,56;1,71
1855;35001855;AMERICO DE MOURA PROFESSOR                                  ;CENTRO SUL;SAO PAULO;;;2,24
1867;35001867;LUIZA MENDES CORREA SOUZA PROFESSORA                        ;LESTE 5;SAO PAULO;5,33;3,24;2,44
1879;35001879;JOAO FIRMINO DE CAMPOS                                      ;CENTRO SUL;SAO PAULO;6,19;;
1880;35001880;JOSE CHEDIAK                                                ;LESTE 5;SAO PAULO;;4,19;2,52
1892;35001892;REPUBLICA DO PARAGUAY                                       ;CENTRO SUL;SAO PAULO;;4,85;
1909;35001909;CAROLINA AUGUSTA DA COSTA GALVAO PROFESSORA                 ;CENTRO SUL;SAO PAULO;4,80;2,69;
1910;35001910;CLEMENTE QUAGLIO PROFESSOR                                  ;LESTE 5;SAO PAULO;;3,49;2,56
1922;35001922;JULIETA NOGUEIRA RINALDI PROFESSORA                         ;LESTE 5;SAO PAULO;6,17;;
1934;35001934;JOAQUIM BRAGA DE PAULA PROFESSOR                            ;LESTE 5;SAO PAULO;;2,98;2,05
1958;35001958;JULIA MACEDO PANTOJA PROFESSORA                             ;CENTRO SUL;SAO PAULO;5,87;3,67;3,08
1961;35001961;NORBERTO MAYER FILHO DEPUTADO                               ;LESTE 5;SAO PAULO;;2,66;1,94
1971;35001971;MOACYR CAMPOS PROFESSOR                                     ;LESTE 5;SAO PAULO;;;
1995;35001995;JULIA AMALIA AZEVEDO ANTUNES PROFESSORA                     ;LESTE 5;SAO PAULO;6,87;;
2008;35002008;JOAO DIAS DA SILVEIRA PROFESSOR                             ;LESTE 5;SAO PAULO;;;0,80
2012;35002012;JOAO CLIMACO DA SILVA KRUSE PROFESSOR                       ;LESTE 5;SAO PAULO;7,01;;
2021;35002021;IRENE RIBEIRO PROFESSORA                                    ;LESTE 5;SAO PAULO;6,55;;
2045;35002045;ALVINO BITTENCOURT PROFESSOR                                ;LESTE 5;SAO PAULO;5,91;;
2057;35002057;AMELIA DE ARAUJO DONA                                       ;LESTE 5;SAO PAULO;;3,73;2,75
2069;35002069;ARACY LEME DA VEIGA RAVACHE PROFESSORA                      ;LESTE 5;SAO PAULO;;3,51;1,68
2070;35002070;BENEDITO ESTEVAM DOS SANTOS DOUTOR                          ;LESTE 5;SAO PAULO;6,09;;
2082;35002082;BLANCA ZWICKER SIMOES PROFESSORA                            ;LESTE 5;SAO PAULO;6,65;;
2094;35002094;FREDERICO VERGUEIRO STEIDEL                                 ;LESTE 5;SAO PAULO;6,69;;
2100;35002100;ERASMO BRAGA                                                ;LESTE 5;SAO PAULO;6,24;;
2112;35002112;CONGONHAS DO CAMPO VISCONDE DE                              ;LESTE 5;SAO PAULO;;3,88;
2124;35002124;CARLOS ESCOBAR                                              ;LESTE 5;SAO PAULO;4,74;;
2136;35002136;CARAMURU                                                    ;LESTE 5;SAO PAULO;;3,36;2,35
2148;35002148;PAULO NOVAES DE CARVALHO PROFESSOR                          ;LESTE 5;SAO PAULO;;3,27;2,64
2159;35002159;PEDRO ARBUES CORONEL                                        ;LESTE 5;SAO PAULO;;2,50;1,76
2161;35002161;SALVADOR ROCCO PROFESSOR                                    ;LESTE 5;SAO PAULO;;3,00;1,78
2173;35002173;JOAO BORGES PROFESSOR                                       ;LESTE 5;SAO PAULO;;4,67;3,59
2197;35002197;IRENE DE LIMA PAIVA PROFESSORA                              ;LESTE 5;SAO PAULO;;3,90;3,17
2203;35002203;JOSE MARQUES DA CRUZ PROFESSOR                              ;LESTE 5;SAO PAULO;;;1,93
2227;35002227;BENEDITA RIBAS F SILVEIRA PROFESSORA                        ;LESTE 5;SAO PAULO;;;
2239;35002239;ALMERINDA RODRIGUES MELLO PROFESSORA                        ;LESTE 5;SAO PAULO;;2,57;2,35
2240;35002240;ANTONIO CANDIDO BARONE                                      ;LESTE 5;SAO PAULO;;3,24;
2252;35002252;ASCENDINO REIS PROFESSOR                                    ;LESTE 5;SAO PAULO;;;2,60
2264;35002264;OSWALDO CATALANO                                            ;LESTE 5;SAO PAULO;;;2,88
