CODIGO CIE;CODIGO INEP;ESCOLA;DIRETORIA;MUNICIPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO
12;35000012;AYRES DE MOURA PROFESSOR;NORTE 1;SAO PAULO;;4.39;
24;35000024;GAVIAO PEIXOTO BRIGADEIRO;NORTE 1;SAO PAULO;5.22;2.68;2.16
36;35000036;JOAO SOLIMEO;NORTE 1;SAO PAULO;;3.23;2.11
48;35000048;WALFREDO ARANTES CALDAS PROFESSOR;NORTE 1;SAO PAULO;;;1.94
59;35000059;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;NORTE 1;SAO PAULO;;;2.23
61;35000061;SUZANA DE CAMPOS DONA;NORTE 1;SAO PAULO;5.35;;
73;35000073;JULIO DE FARIA E SOUZA PROFESSOR;NORTE 1;SAO PAULO;4.96;;
85;35000085;JULIO CESAR DE OLIVEIRA PROFESSOR;NORTE 1;SAO PAULO;6.15;;
97;35000097;RENATO DE ARRUDA PENTEADO PROFESSOR;NORTE 1;SAO PAULO;;;1.92
103;35000103;JOAO BOEMER JARDIM PROFESSOR;NORTE 1;SAO PAULO;5.04;;
115;35000115;FRANCISCO FARIA NETO PROFESSOR;NORTE 1;SAO PAULO;5.15;;
127;35000127;JOSE ALTENFELDER SILVA PROFESSOR;NORTE 1;SAO PAULO;5.89;;
139;35000139;MARIANO DE OLIVEIRA PROFESSOR;NORTE 1;SAO PAULO;;3.69;2.86
140;35000140;SILVIO XAVIER ANTUNES PROFESSOR;NORTE 1;SAO PAULO;;3.25;2.57
152;35000152;OCTAVIO MONTEIRO DE CASTRO PROFESSOR;NORTE 1;SAO PAULO;5.33;;
164;35000164;PIO TELLES PEIXOTO PROFESSOR;NORTE 1;SAO PAULO;;2.59;1.60
176;35000176;ZENAIDE VILALVA DE ARAUJO PROFESSORA;NORTE 1;SAO PAULO;;3.40;2.61
188;35000188;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR;NORTE 1;SAO PAULO;;3.78;2.60
197;35000197;AGENOR COUTO DE MAGALHAES DOUTOR;NORTE 1;SAO PAULO;;3.39;1.81
206;35000206;ALIPIO DE BARROS PROFESSOR;NORTE 1;SAO PAULO;6.18;;
218;35000218;ANTONIO FRANCISCO REDONDO PROFESSOR;NORTE 1;SAO PAULO;;;2.15
224;35000224;CANDIDO GONCALVES GOMIDE PROFESSOR;NORTE 1;SAO PAULO;;3.49;1.70
231;35000231;CHIQUINHA RODRIGUES;NORTE 1;SAO PAULO;5.40;;
243;35000243;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA;NORTE 1;SAO PAULO;5.20;;
255;35000255;CLODOMIRO CARNEIRO;NORTE 1;SAO PAULO;;2.70;1.88
267;35000267;ERMANO MARCHETTI;NORTE 1;SAO PAULO;;3.14;3.13
279;35000279;GALDINO LOPES CHAGAS PROFESSOR;NORTE 1;SAO PAULO;6.36;;
280;35000280;HUMBERTO DE SOUZA MELLO GENERAL;NORTE 1;SAO PAULO;;3.55;1.83
