Nome do Campo;Descrição do Campo ;Tipo do Dado 
ANO;ANO_LETIVO;NUMÉRICO INTEIRO
NOMEDEP;NOME DA REDE DE ENSINO;TEXTO
DE;NOME DA DIRETORIA DE ENSINO;TEXTO
MUN;NOME DO MUNICÍPIO;TEXTO
DISTR;NOME DO DISTRITO ;TEXTO
COD_ESC;CÓDIGO DA ESCOLA;NUMÉRICO INTEIRO
NOMESC;NOME DA ESCOLA ;TEXTO
TIPOESC;TIPO ESCOLA ;NUMÉRICO INTEIRO
TIPOESC_DESC;DESCRIÇÃO TIPO ESCOLA ;TEXTO
SITUACAO;SITUAÇÃO ESCOLA ;TEXTO
CLASSE;NUMERO DA CLASSE ;NUMÉRICO INTEIRO
TIPOCLASSE;TIPO DA CLASSE ;NUMÉRICO INTEIRO
TIPOCLASSE_DESC;TIPO DESCRIÇÃO CLASSE;TEXTO
GRAU;GRAU ;NUMÉRICO INTEIRO
TipoEnsino;TIPO DE ENSINO;TEXTO
SERIE;SERIE ;NUMÉRICO INTEIRO
QTDE_ALUNOS;QUANTIDADE DE ALUNOS;NUMÉRICO INTEIRO
CODVINC;CÓDIGO DA VINCULADORA;NUMÉRICO INTEIRO
